App Name,App Id,Category,Rating
"Gakondo,com.ishakwe.gakondo,Adventure,0.0
"Ampere Battery Info,com.webserveis.batteryinfo,Tools,4.4
"Vibook,com.doantiepvien.crm,Productivity,0.0
"Smart City Trichy Public Service Vehicles 17UCS548,cst.stJoseph.ug17ucs548,Communication,5.0
"GROW.me,com.horodyski.grower,Tools,0.0
"unlimited 4G data prank free app,getfreedata.superfatiza.unlimitedjiodataprank,Libraries & Demo,4.5
"The Everyday Calendar,com.mozaix.simoneboard,Lifestyle,2.0
"WhatsOpen,com.whatsopen.app,Communication,0.0
"Neon 3d Iron Tech Keyboard Theme,com.ikeyboard.theme.neon_3d.iron.tech,Personalization,4.7
"Dodge The Cars!,com.MrScratchEnterprises.CarDogeGame,Racing,4.9
"Parents,com.eqra.android.BSTS.parent,Maps & Navigation,0.0
"be.MOBILISED,com.hastobe.bemobilised,Maps & Navigation,0.0
"Caliway Conductor,com.caliwayconductor.driver,Travel & Local,3.7
"Readymade Grocery App,com.ionicfirebaseapp.readymadegroceryuserapp,Food & Drink,4.2
"OTENTIK Discovery FR,com.camineo.otentikdiscoveryDLFR,Travel & Local,3.4
"All in one shopping app,com.tkapplications.allinoneshoppingapp,Tools,5.0
"REDMOND  Robot,com.grit.redmond,Lifestyle,3.7
"Contemporary Love Wallpaper HD,com.felingdev.lowalpaper,Books & Reference,0.0
"Nepali Congress,np.com.NepaliCongress,Social,0.0
"Bhavan's BHEL VIM,com.bhavans.vim,Medical,0.0
"Block Fill: Puzzle Game,com.mailbeegames.casual.brain.line.block.puzzlegame,Puzzle,4.4
"Coloring Book Barbaie,com.bisgumah.barbie,Entertainment,3.8
"Random Number Generator,com.gary.randomnumber,Tools,4.2
"Sticky Ball,com.mitochondriastudios.stickyball,Arcade,4.6
"CUBIC RUNNER,jp.ga_software.cubicrunner,Arcade,0.0
"Dj Car Sound And Sound Effects 2019,com.melonappsvpn.dj_carsounds,Entertainment,0.0
"Schoolbus*,com.forumloft.schoolbus,Maps & Navigation,4.1
"Cambodian.Express,com.cambodia.ceapp,Auto & Vehicles,3.4
"Barnets Hair,com.phorest.barnetshair,Lifestyle,0.0
"GaiaZOO,nl.haveaniceday.gaiazoo,Travel & Local,3.4
"Photo Brightness Editor - Image Brighten App,image.photo.brightness.editor,Photography,2.5
"Creepy Story,com.creepypasta.club,Entertainment,0.0
"Vancouver Bus Tracker,beyond.translinkbustracker,Maps & Navigation,2.3
"Serbia Audio Guide,apetra.tourguide,Travel & Local,3.7
"Head Lice guide,com.andromo.dev667101.app672597,Health & Fitness,2.1
"Calculus Tutorial 1: Introduction,com.RaySemiSoft.CalculusT1,Education,0.0
"Business Class Fitness,com.bhappdevelopment.samuelvankuren,Health & Fitness,0.0
"Sudan Flag Wallpaper: Flags, Country HD Images,com.techzit.sudanflagwallpaper,Personalization
"BuradaOto,com.rzmobile.buradaoto,Shopping,4.9
"Move
